libthai 0.1.26-1
libtheora 1.1.1-3
libtiff 4.0.8-2
libtiger 0.3.4-4
libtirpc 1.0.2-1
libtommath 1.0.1-1
libtool 2.4.6+40+g6ca5e224-1
libtracker-sparql 1.12.3-1
libtxc_dxtn 1.0.1-6
libunistring 0.9.7-1
libunwind 1.2.1-1
libupnp 1.6.21-2
libusb 1.0.21-2
libusb-compat 0.1.5-1
libusbmuxd 1.0.10-2
libutempter 1.1.6-2
libutil-linux 2.30.1-2
libuv 1.14.0-1
libva 1.8.3-1
libva-intel-driver 1.8.3-1
libva-vdpau-driver 0.7.4-2
libvdpau 1.1.1-2
libvdpau-va-gl 0.4.2-1
libvisio 0.1.5-4
libvisual 0.4.0-6
libvoikko 4.1.1-1
libvorbis 1.3.5-1
libvpx 1.6.1-1
libvterm 0.1.git1.c4317a6-2
libwacom 0.24-1
libwbclient 4.6.7-1
libwebp 0.6.0-1
libwmf 0.2.8.4-14
libwnck3 3.24.1-1
libwpd 0.10.1-1
libwpg 0.3.1-1
libwps 0.4.7-1
libx11 1.6.5-1
libx264 2:148.20170521-1
libx264-all 2:148.20170521-1
libxau 1.0.8-2
libxaw 1.0.13-1
libxcb 1.12-1
libxcomposite 0.4.4-2
libxcursor 1.1.14-2
libxdamage 1.1.4-2
libxdmcp 1.1.2-1
libxext 1.3.3-1
libxfce4ui 4.12.1-2
libxfce4util 4.12.1-1
libxfixes 5.0.3-1
libxfont 1.5.2-1
libxfont2 2.0.1-1
libxft 2.3.2-1
libxi 1.7.9-1
libxinerama 1.1.3-2
libxkbcommon 0.7.2-1
libxkbcommon-x11 0.7.2-1
libxkbfile 1.0.9-1
libxklavier 5.4-1
libxml2 2.9.5+6+g07e227ed-1
libxmu 1.1.2-1
libxp 1.0.3-1
libxpm 3.5.12-1
libxrandr 1.5.1-1
libxrender 0.9.10-1
libxres 1.0.7-1
libxshmfence 1.2-1
libxslt 1.1.30-1
libxss 1.2.2-2
libxt 1.1.5-1
libxtst 1.2.3-1
libxv 1.0.11-1
libxvmc 1.0.10-1
libxxf86dga 1.1.4-1
libxxf86vm 1.1.4-1
libyaml 0.1.7-1
libzip 1.2.0-1
libzmf 0.0.1-2
licenses 20140629-2
lilv 0.22.0-2
linux 4.12.12-1
linux-api-headers 4.12.7-1
linux-docs 4.12.12-1
linux-firmware 20170622.7d2c913-1
linux-headers 4.12.12-1
lirc 1:0.9.4.d-1
llvm-libs 4.0.1-5
lm_sensors 3.4.0-2
lmdb 0.9.21-1
logrotate 3.12.3-1
lpsolve 5.5.2.5-2
lshw B.02.18-2
lua 5.3.4-2
lua-socket 20160311-1
lua51 5.1.5-6
lua52 5.2.4-2
lua52-bitop 1.0.2-8
lua52-expat 1.3.0-3
lua52-lpeg 1.0.1-1
lua52-luajson 1.3.3-2
lua52-socket 20160311-1
luarocks5.1 2.4.2-1
lv2 1.14.0-2
lvm2 2.02.173-1
lynx 2.8.8-5
lyx 2.2.3-2
lz4 1:1.8.0-1
lzo 2.10-1
m4 1.4.18-1
make 4.2.1-2
man-db 2.7.6.1-2
man-pages 4.12-1
man2html 3.0.1-5
mapnik 3.0.13-6
mariadb 10.1.26-1
mariadb-clients 10.1.26-1
mathjax 2.7.2-1
maven 3.5.0-1
mc 4.8.19-1
mdadm 4.0-1
media-player-info 22-2
meld 3.16.4-1
mercurial 4.3.1-1
mesa 17.2.0-2
mesa-demos 8.3.0-4
mesa-vdpau 17.2.0-2
metis 5.1.0.p3-1
mime-types 9-1
minizip 1:1.2.11-2
mjpegtools 2.1.0-3
mkinitcpio 23-2
mkinitcpio-busybox 1.26.1-1
mlt 6.4.1-8
mlt-python-bindings 6.4.1-8
mobile-broadband-provider-info 20170310-1
modemmanager 1.6.8-1
mono 5.0.0.100-2
mozilla-common 1.4-4
mpfr 3.1.5.p2-1
mpg123 1.25.6-1
mplayer 37916-2
msgpack-c 2.1.5-1
mtdev 1.1.5-1
mtools 4.0.18-4
mtpfs 1.1-2
mutt 1.9.0-1
namcap 3.2.7-2
nano 2.8.7-1
nautilus 3.24.2-1
nautilus-sendto 3.8.6-1
ncurses 6.0+20170902-1
neon 0.30.2-2
neovim 0.2.0-2
net-snmp 5.7.3-7
net-tools 1.60.20160710git-1
netcdf 4.4.1.1-1
netctl 1.13-2
nethogs 0.8.5-2
netstat-nat 1.4.10-3
nettle 3.3-1
network-manager-applet 1.8.2-1
networkmanager 1.8.3dev+18+gf43222d41-1
networkmanager-openconnect 1.2.4-2
nm-connection-editor 1.8.2-1
nmap 7.60-1
nodejs 8.4.0-1
npm 5.3.0-1
npth 1.5-1
nspr 4.16-1
nss 3.32-1
ntfs-3g 2017.3.23-1
ntp 4.2.8.p10-2
numactl 2.0.11-1
nvidia-utils 384.69-1
obexfs 0.12-4
obexftp 0.24-11
ocl-icd 2.2.11-1
octave 4.2.1-7
oniguruma 6.6.1-1
openal 1.18.1-1
opencl-headers 2:2.2.20170516-1
opencl-nvidia 384.69-1
openconnect 1:7.08-1
opencore-amr 0.1.5-1
opencv 3.3.0-2
openexr 2.2.0-3
openjpeg 1.5.2-1
openjpeg2 2.2.0-1
openmotif 2.3.7-1
openmpi 2.1.1-1
openobex 1.7.2-3
openresolv 3.9.0-1
openshot 2.4.0-1
openssh 7.5p1-2
openssl 1.1.0.f-2
openssl-1.0 1.0.2.l-1
opus 1.2.1-1
orc 0.4.27-1
oxygen-icons 1:5.38.0-1
p11-kit 0.23.8-1
p7zip 16.02-3
pacgraph 20110629-3
pacman 5.0.2-2
pacman-mirrorlist 20170907-1
pam 1.3.0-1
pambase 20130928-1
pango 1.40.12-1
pangomm 2.40.1-2
pangox-compat 0.0.2+2+gedb9e09-2
parallel 20170822-1
parted 3.2-5
patch 2.7.5-1
pavucontrol 3.0-4
pciutils 3.5.4-1
pcmciautils 018-7
pcre 8.41-1
pcre2 10.23-1
pcsclite 1.8.22-1
pdfpc 4.0.8-2
pepper-flash 26.0.0.151-1
perf 4.13-1
perl 5.26.0-4
perl-anyevent 4:7.14-3
perl-anyevent-i3 0.17-2
perl-async-interrupt 1.21-6
perl-autovivification 0.16-6
perl-b-hooks-endofscope 0.21-3
perl-business-isbn 3.004-3
perl-business-isbn-data 20140910.003-3
perl-business-ismn 1.131-3
perl-business-issn 1.002-3
perl-canary-stability 2012-3
perl-class-accessor 0.34-5
perl-class-data-inheritable 0.08-7
perl-class-factory-util 1.7-8
perl-class-inspector 1.32-2
perl-class-load 0.24-2
perl-class-singleton 1.5-2
perl-clone 0.39-4
perl-common-sense 3.74-3
perl-crypt-openssl-random 0.11-6
perl-crypt-passwdmd5 1.40-3
perl-data-compare 1.25-4
perl-data-dump 1.23-3
perl-data-optlist 0.110-3
perl-data-uniqid 0.12-4
perl-date-simple 3.03-4
perl-datetime 1.42-4
perl-datetime-calendar-julian 0.04-3
perl-datetime-format-builder 0.8100-3
perl-datetime-format-strptime 1.73-3
perl-datetime-locale 1.16-3
perl-datetime-timezone 2.11-2
perl-dbi 1.637-3
perl-devel-stacktrace 2.02-3
perl-dist-checkconflicts 0.11-3
perl-encode-locale 1.05-3
perl-error 0.17025-2
perl-ev 4.22-5
perl-eval-closure 0.14-3
perl-exception-class 1.42-3
perl-exporter-tiny 1.000000-2
perl-file-basedir 0.07-3
perl-file-find-rule 0.34-3
perl-file-listing 6.04-4
perl-file-next 1.16-3
perl-file-sharedir 1.102-3
perl-file-sharedir-install 0.11-3
perl-file-slurp 9999.19-4
perl-file-slurp-tiny 0.004-3
perl-file-which 1.21-3
perl-guard 1.023-6
perl-html-parser 3.72-5
perl-html-tagset 3.20-6
perl-http-cookies 6.04-2
perl-http-daemon 6.01-4
perl-http-date 6.02-4
perl-http-message 6.13-2
perl-http-negotiate 6.01-4
perl-inc-latest 0.500-3
perl-io-html 1.001-3
perl-io-socket-ssl 2.048-3
perl-io-string 1.08-10
perl-ipc-run3 0.048-4
perl-ipc-system-simple 1.25-3
perl-json-xs 3.03-4
perl-libwww 6.26-3
perl-lingua-translit 0.27-3
perl-list-allutils 0.14-3
perl-list-moreutils 0.419-4
perl-list-someutils 0.53-3
perl-list-utilsby 0.10-3
perl-log-log4perl 1.49-3
perl-lwp-mediatypes 6.02-4
perl-lwp-protocol-https 6.06-4
perl-math-random-isaac 1.004-4
perl-math-round 0.07-2
perl-mime-charset 1.012.2-3
perl-module-build 0.4224-5
perl-module-implementation 0.09-3
perl-module-runtime 0.014-4
perl-mozilla-ca 20160104-3
perl-mro-compat 0.13-2
perl-namespace-autoclean 0.28-3
perl-namespace-clean 0.27-3
perl-net-http 6.16-2
perl-net-ssleay 1.81-4
perl-number-compare 0.03-6
perl-package-stash 0.37-4
perl-package-stash-xs 0.28-7
perl-params-util 1.07-8
perl-params-validate 1.28-4
perl-params-validationcompiler 0.24-3
perl-regexp-common 2016010801-4
perl-role-tiny 2.000005-3
perl-scalar-list-utils 1.47-4
perl-sort-key 1.33-4
perl-specio 0.36-2
perl-sub-exporter 0.987-3
perl-sub-exporter-progressive 0.001013-3
perl-sub-identify 0.14-4
perl-sub-install 0.928-3
perl-test-fatal 0.014-3
perl-text-bibtex 0.77-4
perl-text-csv 1.95-3
perl-text-glob 0.11-3
perl-text-roman 3.5-3
perl-tie-cycle 1.224-3
perl-try-tiny 0.28-3
perl-types-serialiser 1.0-3
perl-unicode-linebreak 2016.003-4
perl-uri 1.72-2
perl-variable-magic 0.61-4
perl-www-robotrules 6.02-4
perl-xml-libxml 2.0129-4
perl-xml-libxml-simple 0.97-3
perl-xml-libxslt 1.95-4
perl-xml-namespacesupport 1.12-2
perl-xml-sax 0.99-5
perl-xml-sax-base 1.09-2
perl-xml-writer 0.625-3
pgadmin3 1.22.2-6
phonon-qt4 4.9.1-4
phonon-qt4-gstreamer 4.9.0-3
phonon-qt5 4.9.1-4
phonon-qt5-vlc 0.9.1-2
php 7.1.9-1
php-apache 7.1.9-1
phpmyadmin 4.7.4-1
pidgin 2.12.0-4
pinentry 1.0.0-1
pixman 0.34.0-1
pkg-config 0.29.2-1
pkgfile 17-1
plotutils 2.6-8
polkit 0.113+29+g3272a98-1
polkit-gnome 0.105-3
polkit-qt4 0.112.0+git20160226-1
polkit-qt5 0.112.0+git20160226-1
poppler 0.57.0-1
